loan_id,client_id,month,year,active_status,location,days_in_delay,loan_scenario,loan_term,MFI,location_change,location_change_count
1,1,2,2020,TRUE,Location2,30-Nov,,8,MFI2,1,1
1,1,3,2020,TRUE,Location4,30-60,,16,MFI2,1,2
1,1,3,2020,TRUE,Location1,30-60,,15,MFI2,1,3
1,1,1,2021,TRUE,Location4,91>,,20,MFI2,1,1
1,1,2,2021,TRUE,Location1,no delay,,10,MFI2,1,2
1,1,4,2021,TRUE,Location1,91>,,8,MFI2,0,2
1,1,5,2021,TRUE,Location4,0-10,,16,MFI2,1,3
1,1,2,2022,TRUE,Location3,no delay,,8,MFI2,1,1
1,1,12,2022,TRUE,Location4,no delay,,10,MFI2,1,2
2,1,3,2020,TRUE,Location2,30-60,,13,MFI2,1,1
2,1,4,2020,TRUE,Location4,30-60,,15,MFI2,1,2
2,1,9,2020,TRUE,Location4,30-60,,11,MFI2,0,2
2,1,11,2020,TRUE,Location3,30-Nov,,16,MFI2,1,3
2,1,8,2021,TRUE,Location2,61-90,,12,MFI2,1,1
2,1,5,2022,TRUE,Location2,30-60,,16,MFI2,1,1
3,1,8,2020,TRUE,Location3,30-60,,10,MFI2,1,1
3,1,12,2020,TRUE,Location2,61-90,,15,MFI2,1,2
3,1,1,2021,TRUE,Location3,30-60,,13,MFI2,1,1
3,1,9,2021,TRUE,Location1,no delay,,12,MFI2,1,2
3,1,10,2021,TRUE,Location3,30-Nov,,8,MFI2,1,3
3,1,1,2022,TRUE,Location4,30-60,,19,MFI2,1,1
3,1,2,2022,TRUE,Location3,0-10,,8,MFI2,1,2
3,1,3,2022,TRUE,Location2,no delay,,11,MFI2,1,3
4,1,1,2020,TRUE,Location2,61-90,,14,MFI3,1,1
4,1,6,2020,TRUE,Location1,61-90,,10,MFI3,1,2
4,1,7,2020,TRUE,Location1,91>,,20,MFI3,0,2
4,1,10,2020,TRUE,Location3,no delay,,17,MFI3,1,3
4,1,6,2021,TRUE,Location4,0-10,,11,MFI3,1,1
4,1,7,2021,TRUE,Location1,91>,,15,MFI3,1,2
4,1,11,2021,TRUE,Location2,no delay,,18,MFI3,1,3
4,1,4,2022,TRUE,Location1,no delay,,15,MFI3,1,1
4,1,6,2022,TRUE,Location4,30-60,,18,MFI3,1,2
4,1,7,2022,TRUE,Location2,0-10,,11,MFI3,1,3
5,1,3,2020,TRUE,Location3,0-10,,10,MFI4,1,1
